DRN8	DRN0	PRN8	PRN0	DTU	PTU
LOC644717	SPNS1	LOC148137	KCNA2	STC2	LOC100134121
LOC116349	SERPINB4	LOC440092	NOTCH2	LOC652190	LOC643577
FAM59B	CPT1C	RBMX2	ASB18	LOC647706	LOC646915
MGC19604	MIA3	PADI6	RLN1	FAM90A18	MIR551A
GPR179	ARL6IP6	LOC100128168	LOC652816	C14orf101	KRTAP9-3
LOC100132068	LOC440461	LOC642344	LOC648605	LOC649848	LOC100134172
ZNF469	LOC652685	LOC646145	USP44	C14orf73	TM4SF19
CAMK2N2	GPR119	SLC5A2	CASP5	ADCY7	C9orf50
LOC648222	OR5AP2	LOC100132804	KIAA0319	SLC26A3	LOC645263
C4orf7	PTPN5	ATG16L1	LOC100129717	LOC728534	OR5AK2
LOC344423	TACC2	FLJ32011	LOC123855	FAM46D	ERCC-00084
LRP2BP	LOC651558	KRTAP10-11	OLFM1	DPY19L2P4	C1orf124
FRMPD4	LOC100129890	TRMT2A	LOC100131898	LOC100129929	RWDD2A
LOC392301	PICK1	LOC653689	FAM86C	LOC283887	FLJ46300
MALL	RASAL3	ZNF418	LOC401002	LOC100131856	ZNF614
LRRN4CL	HHATL	LOC729777	PFN2	LOC646933	CST9
COQ4	EXOC7	LOC100130238	LOC643808	LOC651686	KLRA1
LOC650751	LOC728934	PRDM10	KIAA0415	NCL	SLC13A4
TRIM63	ZMIZ2	TNS4	LOC100131049	GH2	NUP188
C1orf117	LOC441150	MAPK15	LOC441601	BTBD3	OR51B5
THAP9	LOC652850	LOC641705	CCDC123	LOC647400	ZBTB7A
C6orf52	PEX11A	LOC642365	KCNMB1	LOC100131818	C22orf33
ZNF254	TNK2	C10orf59	LRFN4	GOLGA3	GTF3C3
LOC654032	DGKQ	OR2A20P	LOC728323	OR2C3	CLPX
LOC646445	CTNS	ZNF98	SYPL2	LOC100134517	SNRNP200
INCENP	TM4SF4	OR2T12	TTC7B	LOC731542	SLC25A17
C3orf55	IL5	ST3GAL4	LOC100133435	TMEM161B	MIOS
SAV1	ADRBK1	SYNGAP1	DUSP13	RNU4-1	CUTC
LOC729545	MYPOP	NETO1	HSPA5	PLAU	LOC440082
LOC731074	B3GALTL	SNORA46	LOC126075	Septin 8	EPB41L1
TBXA2R	LOC100131166	LOC645289	JMJD6	LOC285216	AKAP8
SLITRK6	C11orf35	OR8D1	LOC152578	LOC649747	DPP6
LILRA5	CLEC16A	MPI	ANKHD1-EIF4EBP3	PDILT	ZNF354A
ABO	MIR553	LOC650475	UBQLN3	LOC642573	FAM18B2
LOC100132596	SFRS14	RTP2	LOC654252	LOC100132516	RGS4
C7orf11	BAIAP2L2	ISYNA1	ZDHHC5	LOC653348	LOC730099
LOC654080	LOC651483	ATF7IP	SEC14L4	FLJ30058	SMC3
LOC643355	C21orf99	GDPD2	CHFR	LOC644380	LOC650943
NOX5	PYY	CPLX3	LOC642344	LOC727977	TAF11
HNRNPA1	SNORA4	LOC389786	LOC728229	IGSF5	PDZD2
LOC645757	PTCD1	CNIH2	KLF15	LOC727839	GDNF
LOC100192426	LOC150786	LOC728348	TEAD3	UTP14A	LOC400858
TWIST2	ZNF784	LOC654187	ERLIN1	PPARD	LOC442251
LOC727838	LOC100189589	TRIM3	TCP10	COG4	LOC441487
LOC100134176	GLDN	EPB41L4B	LOC650038	LOC644974	DUSP27
LOC100134376	ASB2	C1orf92	TMEM11	IPO9	LOC731102
LOC728989	KLHDC4	LOC728229	RLF	UBD	PPIG
HRC	NCRNA00158	NKX1-1	LOC131055	LOC646437	VGLL1
LOC647193	ALG3	PLK1	JARID1A	T-SP1	7A5
LOC729259	LOC727752	SENP5	LOC648841	TES	NDNL2
SCAMP4	ELAC2	MIR30C2	PLTP	ZNF774	CPXM1
LOC642732	NCRNA00115	CTXN1	ASPHD2	SLCO6A1	LOC651987
LOC401533	WNT10A	MFAP3	GOLGA1	ACCN4	STBD1
RIMBP3B	LOC100128354	HMOX2	GAB3	INO80	ALOX15B
C4orf50	LOC402100	OR2A14	LOC652839	LOC728863	LOC729905
FLJ16779	LOC651695	LOC729249	TMEM127	C9orf153	SCFD1
LOC728248	OLIG1	LOC202181	LOC647741	GJC1	MIR557
PAIP2B	SMOC1	CHST1	LOC651051	MST1R	CCDC155
LOC392275	SNTG2	ACCN2	C7	LOC731670	PSMB2
MPST	HCFC1	SALL2	SCRT1	BIVM	GTF2IRD1
GGCX	PGA4	FAM114A2	ATP4B	LOC729234	CHRM2
LOC442668	RPH3A	SLC22A6	C16orf7	LOC728503	TBX22
LOC730099	LOC653623	GABRA4	ALG1L	RASL11B	PCGEM1
C1orf94	PCSK7	MAB21L2	BEAN	MIR665	FASTKD3
FADS2	SLC17A2	C11orf9	LOC651905	LOC100133233	NDST1
RAI2	C11orf40	LOC100131975	RASGEF1C	NHLRC4	FAM46D
LOC100128244	ZDHHC8	ZNRF4	EPB41L4B	LOC649352	FRMD7
TOM1L2	RRBP1	ALPI	LECT2	MIR564	KIAA0953
PLEKHH2	MFSD10	LOC649186	UPP1	LOC100132911	LOC100134060
LOC100131482	LOC644880	HHCM	LOC652408	HAS2	C14orf166
LOC100132713	MEF2D	PRAMEF10	MIR487B	LOC652000	LOC653894
GPR133	VAC14	TMEM231	ZC3H10	LOC100131397	LOC645210
LOC100130846	MIR1253	LOC100132675	PRDM10	LOC731602	LOC400120
KLHL30	LOC727748	NPY6R	INTU	KRTAP19-1	LOC441086
OR5H2	LOC400506	LOC100133788	LOC121456	LINGO4	LOC729176
LOC727909	PLCH2	EME2	IGFL4	DNAJC18	LOC729533
CCDC153	FLJ33996	LOC645635	PPP1R16A	CALHM1	P2RY12
C21orf49	TAF1C	CA10	FLJ41856	ACOT11	NTN1
ZNF169	SLC27A3	B3GAT1	LOC730262	LOC100134233	DNAJC5G
CLCN6	IDH3B	LOC652242	PDGFRB	B3Gn-T6	DEFB112
LOC648744	CACNG4	PARG	SLC29A3	ZNF570	LOC120824
LOC646374	FAM40A	SUPT4H1	KRTAP5-10	DIAPH3	OR4F4
LOC642155	SLC25A19	LOC143188	PRICKLE2	LOC729209	EIF2S1
LOC339782	ZGPAT	IL17REL	ICAM1	TMEM134	RRN3
LOC345222	NPFF	FXYD2	SPATA16	C6orf182	ZNF426
C8orf81	TMC6	HEY1	ARMC7	LYVE1	TMEM30A
LOC400942	ITIH4	LOC642943	C19orf6	MIR532	LOC100131859
GNRH1	PLCB2	ATP4B	BTD	LOC730049	LOC100132630
LOC390834	LOC100133077	EMILIN3	ZNF668	C6orf222	LOC648174
POLS	PACS2	C2orf53	LOC651333	LOC100134338	URB2
MIR548F4	TCHHL1	LOC100130546	LOC100131588	FRAP1	GPR161
LOC100128435	OR14J1	NF2	TMEM116	LOC727722	EFHA2
LOC646272	C6orf134	LOC654147	VARS	LOC100133998	UAP1
LOC729150	MTHFD1	FUT2	LOC651150	SMARCC1	LOC646802
LOC389072	TRIM73	C2orf90	OR8D1	LOC652530	RPRD2
LOC100132449	PDXK	LOC649452	RASL11A	LOC643836	TMED8
LOC650757	MYBPH	OR2B6	LOC440092	SERPINA2	NRIP3
TAF9	SAA4	C12orf23	MIR1281	LOC100133431	DNAJA1
FBF1	TPSAB1	H2AFB1	DFNB31	FBXL11	LOC729175
LOC100134226	NKAIN1	LOC647251	LOC646358	FAM128A	THRA
BCO2	CDRT15L2	LOC645079	PHYHIPL	LOC728476	SNORA71D
LOC200420	HGS	DIRC1	PIN4	LOC652677	C22orf29
C19orf34	OXGR1	LOC100129931	C1orf26	DEFB116	C20orf114
IIP45	SELI	GPR171	LOC644944	TMEM216	MED13L
FILIP1L	SCAP	MLST8	IRAK4	C9orf36	LOC645590
LOC100134365	REXO1	IRX6	OR2A20P	KLKBL4	ATP6V1F
SLC5A3	C2orf63	BCL9	FGF11	MRPL10	LOC100131199
LOC730145	SPOCD1	CRB3	GMDS	LOC648638	DGCR11
LOC100128430	SNAI1	LOC642644	PRMT8	SNORD9	C6orf123
LOC728979	PPYR1	RG9MTD3	TP53	NEURL	LOC646236
TTC29	CCDC24	LOC100131283	PNKP	LOC728297	ZNF37A
GRSF1	C8orf30B	RXRG	CHST1	LOC100130097	CWF19L2
ARFIP2	LOC650905	DPPA4	LOC730243	SULT2A1	LOC340888
LOC653734	ZNF334	LOC474170	KLHL18	LOC100131831	LOC642441
MIR196A2	FAM3D	TMPRSS11D	RHBDF2	ZNF354B	GNAZ
SNORD92	MUM1	LOC651763	FLJ32790	LOC641699	LOC644224
CCDC110	MARCO	LOC653227	LOC652379	PKD1L3	NEURL2
KIAA0319	CLCN7	CEP72	ZNF513	TINAG	ADCY5
LOC729390	KIR3DS1	TCP11L1	IGF2	CDH13	LOC729409
C7orf61	LOC613037	TTLL11	RELA	LOC647035	PSMA3
LOC100132984	CDADC1	LOC441046	USP41	LOC647468	LOC648972
MIR15A	FAM168A	SPRYD4	LOC649800	LOC643355	SMARCA2
SSX9	RING1	MID1	IL17C	EPB41L3	HPS5
ALG14	TSPAN4	LOC400145	MXD3	LOC100132088	LOC647083
CDX2	LOC652134	LOC651059	MAG	LOC732275	LOC100132108
LOC648245	PLA2G2E	LOC644403	C10orf141	LOC100132752	UBA5
LOC643363	VASH1	HIST1H1A	PRKAB1	RAB3C	C16orf85
PDXDC2	LOC651503	LOC647741	LOC650843	C1R	LOC645722
LOC100133152	LOC646223	MAMDC2	KCTD13	PANX3	CTGLF1
MIR1267	EME1	SOX12	PIP5K3	MORC4	DAZL
LOC651905	OR4F29	RAB17	CARD6	LOC729863	LOC391359
LOC728970	ZNF527	INSM1	THADA	SOX11	LOC644908
LOC100128327	CHRDL1	LOC647022	CSNK1G1	LOC554207	ZFP92
C12orf39	LOC100128805	LOC283440	CSRNP2	LOC100129297	LOC652141
LOC649396	SNORD1B	LOC441167	IL16	TULP2	MAGEL2
LOC100134819	C1orf200	LOC339778	OR2M4	YEATS2	KIAA2013
ZNF501	ACAD10	OPN3	UCHL5IP	ANKRD30A	C9orf109
LOC100130171	MORG1	C2orf14	ZNF828	LOC643274	SNORA11C
LOC100131247	ITPR3	WBSCR16	HOXA6	RHOF	GALNT2
RHOBTB2	LANCL2	CDCP1	LOC643274	LOC730273	LOC646708
LOC100130236	TMEM175	CHRAC1	SHE	SLC44A4	LOC645448
FSIP1	UFSP1	ZNF787	FOXD4L2	LOC440871	TTC32
LOC100133829	RFESD	LOC644518	SPINK5L2	MIR1914	LOC100130652
SPATA19	ADAMTS3	PCDHB3	TESK2	SNORA23	KGFLP1
LOC100133990	LOC642648	MIR1290	HRH1	SLC10A2	UCN
LOC100132859	TMEM35	LOC643959	CCDC150	ADCYAP1	METAP2
CCDC151	ANXA6	POU5F2	CCDC24	VN1R5	TCP10
ABCB8	PHKG2	LOC643665	FLJ45032	LOC647723	ZNF622
7A5	ZC3H12D	KCNV1	LOC150051	CACNA1B	FAM122C
TAS2R7	C7orf26	LOC152578	LOC100128888	MIR1280	MIR181B2
IL1RL1	LOC729533	BARX2	LOC100130716	MIR142	NKAPL
LOC126520	LOC389369	KRT71	CYB561D2	LOC641914	PHKG1
ZEB1	ZIM3	WDR27	ENAH	CCL19	OR5C1
UXS1	VSX2	MEI1	LOC651974	LOC642947	BAZ1A
FAM178B	C6orf79	LOC653241	CASP9	FLJ46020	GOLPH3L
C15orf40	LTA4H	MS4A15	MIR1-2	LOC731909	PDYN
CRSP6	MIR939	CDH15	EME2	TTC30B	ZBTB39
ERCC-00042	LOC729978	MFAP4	KIAA0082	LOC389517	TXLNB
C22orf36	RFPL1	ZNF665	CTSZ	LOC100132932	LOC728347
LOC100134252	ERBB2	RUVBL1	CSF2RB	RBPMS	LOC100133172
ZNF670	LOC100132979	MIR24-2	HAMP	PCDHB13	LOC647582
CNBD1	LGR6	AGBL5	CRIP3	LOC642434	ATG4A
SLC27A4	LOC642617	TMED8	ENTPD1	COL4A6	CSNK1G1
LOC729667	LOC732229	C6orf154	MIRLET7G	LASS1	GNL3
LOC440041	SAFB2	KCNG4	GLYCTK	C9orf150	SNORD114-11
LOC391358	SURF1	CCDC60	LOC651763	LOC642826	SV2B
DCDC2	LZTR1	LAMA1	ADCY4	FAM38B	SRP72
MEOX1	LOC100133091	LOC650780	BCL9	MIR487A	OR2AK2
LOC727842	ARMC5	PALB2	C6orf153	LOC652629	KLF8
LOC100133079	MIR504	KIR2DL4	SNHG11	DDX19-DDX19L	CSAG3A
LOC643089	LOC642751	MFSD5	APOBEC4	SLC8A2	PAX1
SNORA21	PRMT2	LOC100129427	ANAPC11	TCHH	LOC730546
ROGDI	GLS2	PCGF3	OR6C74	LOC644466	MAP3K4
IGSF2	FCN2	C16orf46	LOC100130552	HHIPL2	CPNE7
CD24	DDRGK1	LOC653968	POLA2	LOC388255	LOC100132275
LOC729156	SPNS2	MGC57359	HES3	SOX9	SLC6A16
LRRC39	LOC100128988	KIR2DS5	LOC402117	PTF1A	AMMECR1L
LOC649979	INTS5	PPM1L	MGC39545	LOC649270	ZNF558
C3orf42	TEAD1	TRIM7	KRTAP3-2	LOC441461	IQUB
LOC644530	FAM3A	GJD3	LEPRE1	LOC728248	LOC644433
SNORD85	TUFM	SCRT2	LRRC8A	SNORD110	TRAF3
LOC646346	KRTAP19-1	CHX10	STARD3NL	SLC25A30	FLJ33630
LOC644124	C19orf52	IL28A	KIAA0664	MYOG	C8orf30B
OVCH2	TXLNA	LOC642237	TPCN2	GLI2	UGT2B7
MIR16-1	CDKN1C	GNGT2	PAGE5	HNRPA2B1	LOC729686
PLA2G1B	C1QTNF1	NKX1-2	CPSF3L	SNORD70	LOC651075
LOC643149	CTNNBIP1	TMEM102	ZNF784	LOC644482	TBC1D15
LOC100129699	SLC10A6	SMAD9	TOMM70A	FLJ44379	MIR628
LOC646533	TH1L	KIR3DL1	BANF2	NCRNA00160	LOC729669
STELLAR	LOC641738	LOC390811	LOC650215	LOC400721	RBM15
ST20	LOC100133403	NANS	DNASE1	LOC100129335	LOC647363
LOC645137	LOC442434	DYSFIP1	FGFBP3	LOC649137	GPR112
APBB2	LOC643032	APOH	NOBOX	GABRA2	LOC650594
MARCO	SLC22A18AS	DUSP13	GJD2	MIR1257	LOC727855
TBC1D29	LOC651140	IL16	LOC652100	RESP18	RTN4RL1
LOC651272	WHAMM	KLF16	ERMAP	GNAT2	LOC646981
LOC648132	LOC644935	KIAA0664	LOC100129901	LOC645660	THAP1
LOC728887	GPR56	LOC100128691	COPG2	PRAMEF3	LOC644607
GPR182	LOC650968	KRTAP5-10	ALPI	LOC644917	UTP14A
GPR110	TMCO5A	MIR192	NME2	WHSC2	FAM175B
CLN6	SCAND2	BEAN	LOC643273	LOC284441	SPTBN2
LOC642859	RGS12	LOC645937	SLC27A3	DIRAS3	C9orf69
ELMO1	ARS2	ADRA2A	LGALS14	AKR1D1	MIR1229
LOC653423	KLKB1	ZFP2	LOC653210	HPS5	MIR629
MGC87042	ABCC9	LOC100128416	UFD1L	DLK1	LOC646604
PRIM1	DRD4	LOC650146	LOC729535	LOC283584	CNKSR3
LOC643233	PLIN2	BANF2	LOC393078	LOC730974	SREBF2
PLCE1	C21orf7	CTSL2	LOC645937	FAM176B	PREP
LCA5	ETV3	CXorf48	SAP30L	ABCA6	LOC100130881
LOC550631	TES	LOC400950	MRPS36	ADAM21	LOC161527
LOC645839	SYDE2	LOC100128998	PRRT3	LOC100132782	FANCD2
LOC652712	CARD9	KCTD13	ATP6V1C1	GZF1	LOC647193
LOC441958	LOC392452	LOC649414	RNF43	LOC100130982	FAM136B
LOC100128537	NUP210	HOXD4	FRZB	MYH4	ERCC-00051
LOC402716	CERKL	PAX7	LOC650712	CCDC112	LOC652227
LOC100133817	MXD4	MIR563	SUOX	LOC100129503	KLK4
VSTM2A	MTRF1	OR52E4	ADCK4	LOC402693	LOC100132657
CDH9	LOC730159	LOC442329	PHC1	LOC100128979	ARF5
KPNA5	OR5B2	LOC653210	TNFSF13	LOC642441	AGXT
LOC100130361	CDC37	ADAMTS17	LGALS12	PPRC1	MIR555
LOC646631	RHOXF1	OR4D6	DNALI1	LOC651403	STK31
GRM7	DLL3	Septin 8	ALKBH6	DNPEP	SART3
ALS2	NTN5	C11orf47	ZNF436	LOC100132703	LRFN5
LOC731835	LOC100133025	MAG	ZFP82	DYX1C1	RSF1
CADM4	VPS11	NTRK1	RRP9	LOC100127984	HDAC2
RNASE7	RUNX1T1	GALE	LRP3	ERCC-00074	LOC283585
LOC389493	SDHA	LOC652667	LOC100131556	CCNYL1	TEAD1
C9orf144	TFG	LOC643614	MED13	LOC650526	C17orf82
MIR1208	TIMELESS	LOC648526	ACP2	CADM4	LOC646644
FAM170A	LOC648738	FLJ25404	CSTL1	LOC100128901	SPATA2L
CCDC83	DENND1C	LOC645605	FLJ00312	LOC645408	RRAGC
APPL2	LOC650599	LOC100132261	LOC347411	STK38	LOC388153
PLCL4	LOC642757	MLPH	NTN3	LOC644361	FAM71C
LOC647654	LOC283155	KLHL26	LDB2	MIR1974	NAB2
MS4A4A	C1orf89	MIR1468	FGD4	CBY3	FTHL17
LOC100133606	LOC653537	USP2	CHCHD8	C1orf133	KCNIP4
LOC648278	PTGDS	STK17A	FSTL4	LOC729218	SLC17A2
LOC652512	LOC23117	LOC644953	RASD1	C20orf85	LOC652185
IL27	GNL1	PRKCG	C10orf28	LOC644390	CTR9
LOC647174	LOC100134711	ANAPC11	PPARD	ABT1	WDR46
LOC644727	C9orf72	TTC7B	C15orf52	SHANK2	PALM2-AKAP2
CLEC14A	LOC100130859	FGFBP3	LOC441920	MIR604	FLJ32569
ADH6	MLYCD	TEX101	UNC119	LOC100134199	HDDC2
LOC642424	ZNF683	LOC731823	CTXN1	ATPBD1B	LOC649848
LOC100132139	CUL1	ACSM5	RHOBTB1	MRPL19	VWA1
C2orf67	C11orf57	FSTL4	LOC644319	ACER1	RAPGEF5
ACTR8	LRRC14	LOC728849	ATP6V0E1	PTH	LOC727951
LOC642335	LOC645200	NACC2	LOC647022	LOC100130111	ASPA
LOC653436	HINFP	rab1c	FAM110B	LOC648218	LOC400968
LOC100131414	LOC647816	VGLL2	CELA3B	LOC100132605	LOC648639
TAGLN3	LOC100134719	LOC100128974	NKX1-1	DDX42	SLCO1B1
SERPINA4	NDUFA10	LOC731444	TMEM144	PDE4C	LOC651621
ETV4	RANBP3	APOA5	MPI	LOC100131433	LOC642516
UVRAG	LOC401296	SNHG11	LOC651612	PRELID2	LOC652234
LOC648604	MMS19L	XPNPEP2	FAM58A	KRT8P15	LOC338651
LOC652683	LOC100131326	USP24	COQ2	SIX5	AFAP1L1
LOC647696	FUK	CT47A1	RAB3D	SNORD50A	LOC340527
PTRF	ZNF551	OTUD7B	MIR1321	LOC100133669	LOC100131480
LOC728796	PELP1	MIR26A1	LOC399942	ACACA	BDH1
LOC650681	CCDC102B	LOC100132107	FAM7A1	AGPS	SPANXD
C2CD4C	SIDT2	CCDC40	RFX3	GCM1	OR4F17
FAM169A	FAM86D	LRRC49	LOC390231	POU3F3	DNAJC21
ORM2	GRRP1	LPHN1	NR1D1	LOC441728	UPF2
FARSB	TRRAP	LOC100134252	ADPRHL1	SCNN1D	LHX5
LOC727945	ZBTB22	LOC648003	MAP3K14	LOC643082	BCL2L12
MRGPRX3	LOC645724	FGF6	IL9	LOC647928	LOC644640
OR2V2	WFDC12	ERO1LB	LOC100132858	LOC644528	LOC100129267
LOC100130549	ENO3	EFNA3	LOC100128691	ERCC-00016	SLC39A4
GNMT	C14orf173	KNDC1	LOC341112	MEOX2	FAM25G
LOC649738	LOC644517	LOC100131354	DOCK5	THOC1	FLJ45337
C11orf49	OR4D9	LOC391761	LOC653254	LOC100128805	IFNA21
SLC6A18	KLHL4	SCGN	FRMPD1	LOC644105	LOC730236
AIM1L	LOC100128366	COL20A1	KCTD11	TH	LOC100130112
LOC100128423	KCNMB1	ZNF235	IRX6	SPON1	GNG3
OXNAD1	GLI2	LOC402509	NADSYN1	PLAG1	NUP88
PDGFRA	NAGK	LOC646471	ZDHHC3	PAN2	FABP5L3
SEMA6D	COPG2IT1	PRH2	OR2T12	KLHL25	LHX2
DISC2	RDH5	SLPI	ZMYM4	LARP1	FASTKD5
LOC100129717	LOC100131892	LOC645038	SLC38A8	LOC644166	LOC100130769
LOC729373	OR8B3	WFDC3	GlyBP	T1560	LOC100126784
NBEA	HINT3	EGR3	ABCG4	HIRA	NCL
GPR176	SFRS8	SLC13A2	SFXN1	MED24	TSPAN2
FLJ20712	LOC91664	OR56B4	C19orf38	LOC653971	ALX3
LOC100133181	UCKL1	NRBP1	MT1L	SPOCK3	LOC643821
STK16	UBE1C	FCRL1	FES	LOC100129081	LOC645690
LOC648927	PHRF1	TSGA14	HEY1	TRIT1	LOC388494
LOC402199	CD6	OR1N1	OR4F3	LOC730007	DNM1L
KIAA1430	FGF5	LOC642622	LOC730240	LOC401305	CEP78
LOC642650	ZBTB17	LOC642799	STEAP3	LOC100131301	C15orf37
LOC644087	PFTK1	LOC255313	LIN37	SPAG11B	KRTAP19-2
COL6A1	OR7A17	CNGB3	SLC37A1	OR10H2	DHRS8
HRNBP3	HNF4A	LOC649604	CRB3	EXOD1	CALN1
MSLNL	DMRTC1	EFS	LOC100128746	CXorf58	PPFIBP1
C3orf14	AOF2	CEND1	LOC389983	C3orf72	GPR89B
LOC643496	DYNC1H1	LOC642637	ATP10A	PDE3A	SND1
LOC647466	LRFN3	KIAA1432	CUL9	IL1F8	SEMA7A
ISM2	SMARCC2	CCDC89	HSF5	FLJ10081	LOC647855
LOC100130263	TRAF3	ZNF766	DKFZp564N2472	LOC648500	CECR7
GLDN	LOC727747	SIX4	LOC389901	GYLTL1B	TPP2
CLEC18C	LOC100129856	IL31RA	FAM179A	SMC1A	FOXL1
LOC642278	SGSM2	FADS6	TMEM150A	C16orf10	UROC1
OR5C1	CDGAP	LENEP	ST3GAL4	LOC442117	FLJ22447
TMEM83	VPS16	OR13J1	SLC9A9	KIAA1026	CDC26
LOC100132088	GINS1	LOC150051	OR52M1	LOC100130469	INPP5F
HRASLS	TREML3	LOC729485	KIR3DL3	LOC152118	POU6F2
LOC653075	FAM38A	LOC646908	TGFB1	OR2H2	LOC100133120
GBX1	LOC642736	ZNF808	USP22	AARS	MSI1
C9orf171	TUT1	CDH7	ISYNA1	NSD1	IFNW1
NTRK2	LYPD6	LOC729758	C12orf26	UGT1A1	LOC641945
LOC649801	TRIM6-TRIM34	TOMM70A	LYZL4	LOC647910	LOC255025
LOC642282	ZDHHC21	FCN3	SERAC1	SATL1	LOC643896
ZNF826	INO80	NME2	LOC645181	TUBA8	CADPS
LOC645527	LOC643246	HOXC10	C19orf21	LIMD1	TMEM184A
QRICH2	NAGPA	SELE	SV2A	MTMR7	LOC648851
DSCR6	LOC653431	ZDHHC24	NR5A2	MGC39821	RAMP2
TMEM47	METTL8	PITX2	ABAT	BTBD8	ZNF701
RPP14	LOC642573	GCNT4	LOC646309	SCMH1	LOC641767
LOC100134242	LOC727947	GUCA2A	NCAPG2	SLFNL1	FGF18
SPRY3	SNORD111B	LOC652463	SMARCAL1	LOC642712	MIR1301
SNORA63	RASSF4	PRICKLE2	PPY	LOC652675	ERAS
LOC648460	GSX1	LOC440361	CRSP2	MIR548A2	TG
LOC652455	LRSAM1	CAMK1G	TMSB4Y	EVI1	MRM1
ANO9	C9orf150	TMEM151A	RGMA	ZNF547	HOXC13
BUB1B	OR4F17	C20orf195	LOC653537	MIRLET7C	FLJ44005
LOC401703	GPR114	APOB	LOC100131688	ZNF620	LOC643505
LOC650562	BCL2L10	HMP19	AP3M1	OR5A2	LOC729023
SLC24A1	TUSC4	PRMT8	CYYR1	LOC642672	LOC650568
NPTX1	CYP2C18	C11orf87	KIR2DL4	SRRM2	ANKRD34C
SNORD126	CLDN5	LOC645349	ZFHX3	LOC401677	LOC730086
CYP4X1	SLC25A27	LIG3	TRIO	PKD1P1	CFDP1
BANP	PSKH1	KRT18P30	LOC644088	LAS1L	CILP2
LOC728692	LOC390975	CYP2F1	KRT3	LOC441795	ICF45
DEFB115	CLDN15	LOC652839	LOC645676	LOC100128010	UBE3A
